name,founded_date,status,headquarters_city,headquarters_country,primary_category,subcategory,total_funding_usd,last_funding_date,last_funding_type,num_investors,top_tier_investor,investor_names,name_clean,total_funding_millions,hq_city_parsed,hq_country_parsed,headquarters_city_final,headquarters_country_final,founded_year,founded_date_parsed,last_funding_date_parsed,company_name,rounds_total_funding_millions,rounds_avg_size_millions,rounds_largest_millions,num_rounds,rounds_last_date,rounds_first_date,rounds_last_type,rounds_investors,company_name_clean,_merge,company_name_final,total_funding_final,company_age_years,is_bay_area,is_usa,is_nyc,is_london,is_telaviv,is_llm,is_computer_vision,is_robotics,is_mlops,is_agent,is_fin_ai,is_health_ai,is_security_ai,is_climate_ai,is_enterprise_ai,is_other_ai,has_mega_round,is_unicorn,funding_velocity,log_total_funding
1Buy.ai,2023.0,Active,"New Delhi, India",Industry,SaaS,"AI-Driven Procurement Technology, SaaS, Supply Chain",3000000.0,"Jan 29, 2026",Seed,4.0,N,"100Unicorns, Gruhas, Ashish Kacholia, FJ Labs",1buy.ai,3.0,New Delhi,India,New Delhi,India,2023,2023-01-01,2026-01-29,1Buy.ai,3.0,3.0,3.0,1.0,2026-01-29,2026-01-29,Seed,"100Unicorns, Ashish Kacholia, FJ Labs, Gruhas",1buy.ai,both,1Buy.ai,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1.0986122886681098
360 ONE Asset,,Active,"Mumbai, India",Industry,Financial Services,"Asset Management, Financial Services, Investment Banking",109800000.0,"Jan 21, 2026",Funding,0.0,N,,360 one asset,109.8,Mumbai,India,Mumbai,India,,,2026-01-21,360 ONE Asset,109.8,109.8,109.8,1.0,2026-01-21,2026-01-21,Funding,,360 one asset,both,360 ONE Asset,109.8,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,4.69866052907543
4baseCare,2018.0,Active,"Bangalore, India",Industry,Healthcare,"Diagnostics, Healthcare, Medical Technology",8000000.0,"Aug 12, 2024",Series A,0.0,N,,4basecare,8.0,Bangalore,India,Bangalore,India,2018,2018-01-01,2024-08-12,4baseCare,8.0,4.0,6.0,2.0,2024-08-12,2024-01-01,Pre,,4basecare,both,4baseCare,8.0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2.0794415416798357
7AI,2024.0,Active,"Boston, United States",Industry,Artificial Intelligence,"Artificial Intelligence, Cybersecurity, Enterprise Software",130000000.0,"Dec 4, 2025",Series A,5.0,Y,"Blackstone, Greylock Partners, Spark, CRV, Index Ventures",7ai,130.0,Boston,United States,Boston,United States,2024,2024-01-01,2025-12-04,7AI,130.0,130.0,130.0,1.0,2025-12-04,2025-12-04,Series A,"Index Ventures, Blackstone, CRV, Greylock Partners, Spark",7ai,both,7AI,130.0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,65.0,4.867534450455582
9fin,2016.0,Active,"London, United Kingdom",Industry,Artificial Intelligence,"AI, Analytics, Data",159800000.0,"Mar 31, 2026",Series C,6.0,N,"CPP Investments, Highland Europe, Seedcamp, Spark Capital, HarbourVest, Redalpine",9fin,159.8,London,United Kingdom,London,United Kingdom,2016,2016-01-01,2026-03-31,9fin,159.8,159.8,159.8,1.0,2026-03-31,2026-03-31,Series C,"HarbourVest, CPP Investments, Highland Europe, Redalpine, Seedcamp, Spark Capital",9fin,both,9fin,159.8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15.98,5.073923033332174
Accelsius,2022.0,Active,"Austin, United States",Industry,Artificial Intelligence,"AI, Data Centers, Hardware",89300000.0,"Jan 13, 2026",Series B,4.0,N,"Bell Laboratories, Innventure, Johnson Controls, Legrand",accelsius,89.3,Austin,United States,Austin,United States,2022,2022-01-01,2026-01-13,Accelsius,89.25,29.75,65.0,3.0,2026-01-13,2023-10-16,Seed,"Johnson Controls, Legrand; Innventure, Bell Laboratories; Innventure",accelsius,both,Accelsius,89.3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22.325,4.492001487882454
Adaptive6,2021.0,Active,"Tel Aviv, Israel",Industry,Cloud Infrastructure,"AI‑Driven Cost Optimization, Cloud Infrastructure, FinOps",44000000.0,"Jan 28, 2026",Series A,4.0,N,"early angel and venture participants, Vertex Ventures (led by Yanai Oron), U.S. Venture Partners, Pitango VC (led by Eyal Niv)",adaptive6,44.0,Tel Aviv,Israel,Tel Aviv,Israel,2021,2021-01-01,2026-01-28,Adaptive6,44.0,22.0,28.0,2.0,2026-01-28,2024-01-01,Seed,"U.S. Venture Partners; Pitango VC (led by Eyal Niv), Vertex Ventures (led by Yanai Oron), early angel and venture participants",adaptive6,both,Adaptive6,44.0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.8,3.784189633918261
Adonis,2022.0,Active,"Town of Greece, United States",Industry,Artificial Intelligence,"AI, HealthTech, rcm",40000000.0,"Mar 25, 2026",Series C,3.0,Y,"Bling Capital, General Catalyst, Quadrille Capital",adonis,40.0,Town of Greece,United States,Town of Greece,United States,2022,2022-01-01,2026-03-25,Adonis,40.0,40.0,40.0,1.0,2026-03-25,2026-03-25,Series C,"Quadrille Capital, Bling Capital, General Catalyst",adonis,both,Adonis,40.0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.0,3.6888794541139363
Aerem,,Active,France,Industry,Manufacturing,"Industrial Equipment, Manufacturing",15000000.0,"Jan 21, 2026",Pre,0.0,N,,aerem,15.0,,France,,France,,,2026-01-21,Aerem,15.0,15.0,15.0,1.0,2026-01-21,2026-01-21,Pre,,aerem,both,Aerem,15.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2.70805020110221
Agaton,2024.0,Active,"Stockholm, Sverige",Industry,Artificial Intelligence,"AI, B2B, SaaS",10000000.0,"Mar 5, 2026",Seed,4.0,N,"Alstin Capital, Inception Fund, Foundry Ventures, Seed+speed Ventures",agaton,10.0,Stockholm,Sverige,Stockholm,Sverige,2024,2024-01-01,2026-03-05,Agaton,10.0,10.0,10.0,1.0,2026-03-05,2026-03-05,Seed,"Inception Fund, Alstin Capital, Foundry Ventures, Seed+speed Ventures",agaton,both,Agaton,10.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,2.302585092994046
